Date,Bean,Batch,ColorChart,Start,Reversal,Dehydrated,Maillard,Caramel,Crack,Crack_1st_Start,Crack_1st_End,Crack_2nd_Start,Crack_2nd_End,FireOff,End,Start_Temp,Reversal_Temp,Dehydrated_Temp,Maillard_Temp,Caramel_Temp,Crack_Temp,Crack_1st_Start_Temp,Crack_1st_End_Temp,Crack_2nd_Start_Temp,Crack_2nd_End_Temp,FireOff_Temp,EndTemp,_0,_60,_120,_180,_240,_300,_360,_420,_480,_540,_600,_660,_720,_780,_840
2016/11/5,La Minita La Flor,1,65,0,,270,356,477,597,597,690,,,690,690,180,,150,160,170,200,200,210,,,210,210,,,,,,,,,,,,,,,
2016/11/5,La Minita La Flor,2,65,0,,325,368,496,659,659,725,,,725,725,180,,160,160,170,205,205,210,,,210,210,,,,,,,,,,,,,,,
2016/11/5,La Minita La Flor,3,65,0,,357,447,550,607,669,756,,,756,756,180,,150,160,180,195,205,210,,,210,210,,,,,,,,,,,,,,,
2016/11/5,La Minita La Flor,4,65,0,,330,373,477,598,626,693,,,693,693,180,,160,170,180,200,200,200,,,200,200,,,,,,,,,,,,,,,
2016/12/10,La Minita La Flor,1,60,0,60,314,360,480,600,645,714,,,725,750,180,110,170,175,180,200,210,215,,,210,210,180,110,120,145,155,165,175,175,180,190,200,210,215,,
2016/12/10,La Minita La Flor,2,65,0,90,360,409,561,698,725,770,,,790,810,180,115,165,170,180,205,210,205,,,200,200,180,115,120,135,150,155,165,170,165,180,190,200,210,205,
2016/12/10,La Minita La Flor,3,65,0,43,286,341,480,560,592,670,,,680,690,180,100,160,165,180,200,205,210,,,205,205,180,100,130,140,150,160,170,175,180,190,210,210,,,
2016/12/10,La Minita La Flor,4,60,0,60,341,400,480,638,673,760,,,760,800,180,105,155,170,180,200,200,205,,,205,200,180,105,115,120,130,145,160,170,180,190,190,200,205,200,
2017/1/7,Colombia Finca Santuario Red Bourbon,1,65,0,60,240,270,352,480,502,570,,,570,600,180,85,150,155,175,200,205,210,,,210,205,180,85,115,135,150,160,180,185,200,210,205,,,,
2017/1/7,Colombia Finca Santuario Red Bourbon,2,65,0,32,210,264,340,470,562,600,,,614,660,180,85,160,165,175,195,200,205,,,205,200,180,95,125,150,165,175,180,185,195,200,205,,,,
2017/1/7,Colombia Finca Santuario Red Bourbon,3,65,0,50,260,297,360,475,496,570,,,570,600,180,90,165,175,180,205,210,205,,,205,205,180,90,115,140,160,175,180,190,205,210,205,,,,
2017/1/7,Colombia Finca Santuario Red Bourbon,4,65,0,60,261,292,340,390,430,510,,,510,570,180,80,155,165,180,195,200,200,,,200,200,180,80,105,130,150,170,185,200,205,200,,,,,
2017/2/12,Panama Finca Elida Typica Natural,1,65,0,60,220,250,300,421,421,490,,,495,520,180,75,150,160,175,200,200,210,,,210,210,180,75,105,135,155,175,185,200,210,,,,,,
2017/2/12,Panama Finca Elida Typica Natural,2,65,0,60,180,240,300,430,430,500,,,500,530,180,95,155,170,185,200,200,205,,,205,205,180,95,130,155,170,185,190,200,210,,,,,,
2017/2/12,Panama Finca Elida Typica Natural,3,70,0,60,262,300,393,456,460,,,,510,540,180,70,160,165,185,200,200,,,,205,205,180,70,95,130,150,165,180,190,205,205,,,,,
2017/2/12,Panama Finca Elida Typica Natural,4,70,0,60,210,240,320,420,420,,,,470,500,180,85,155,165,180,200,200,,,,205,205,180,85,115,145,165,175,185,200,205,,,,,,
2017/3/18,Panama Finca Elida Typica Natural,1,65,0,52,240,300,360,480,510,570,,,570,600,180,85,150,160,170,190,205,205,,,205,200,180,85,115,135,150,160,170,185,190,205,200,,,,
2017/3/18,Panama Finca Elida Typica Natural,2,70,0,31,240,300,348,503,503,,,,570,600,180,85,150,160,170,200,200,,,,200,200,180,100,120,140,150,160,170,185,195,205,200,,,,
2017/3/18,Panama Finca Elida Typica Natural,3,70,0,45,270,300,360,505,526,,,,570,600,180,85,150,160,170,195,200,,,,205,205,180,90,115,135,145,160,170,180,190,205,205,,,,
2017/3/18,Panama Finca Elida Typica Natural,4,70,0,43,289,360,420,570,610,,,,660,690,180,85,150,160,170,195,200,,,,205,200,180,85,105,125,140,150,160,170,180,190,200,205,,,
2017/5/1,Ethiopia Yirgacheffe Kochere Biloya OCR Washed  G2,1,65,0,30,240,270,330,468,480,540,,,540,600,180,80,155,165,175,200,200,205,,,205,200,180,85,110,135,155,170,180,190,200,205,200,,,,
2017/5/1,Ethiopia Yirgacheffe Kochere Biloya OCR Washed  G2,2,65,0,60,240,270,330,435,480,550,,,550,600,180,80,155,165,175,195,200,205,,,205,205,180,80,105,135,155,170,180,195,200,205,205,,,,
2017/5/1,Ethioipia Yirgacheffe Wanago Oumer-Abedu Natural G1,3,65,0,60,270,300,420,460,480,570,,,570,600,180,80,155,160,180,195,200,210,,,210,210,180,80,115,135,150,160,175,180,200,205,210,,,,
2017/5/1,Ethioipia Yirgacheffe Wanago Oumer-Abedu Natural G1,4,65,0,60,300,360,450,540,570,640,,,640,660,180,95,155,165,180,200,205,210,,,210,210,180,95,110,120,135,155,165,175,185,200,210,210,,,
